Time,Pbat1,Pgrid,Pultracap,PBat2,P-load3,SOC_BAT1
612,41525.895052844,-9912.84503696486,1599.42763151818,-31426.8046707424,0,68.9441817022495
612.1,42249.792932582,-10567.9635575246,-2107.91830067637,-31483.5212870063,0,68.9438498409775
612.2,42282.2887823524,-10312.1886915025,-1070.56446337789,-31808.046374625,0,68.9435172351415
612.3,41461.7763213886,-9523.95485004626,-28.370035777863,-31812.1561164517,0,68.9431847479629
612.4,42221.4790413612,-10795.5688280072,1012.83841385758,-31291.8271556361,0,68.9428525817686
612.5,41891.1311531274,-10123.7402293222,2046.60097405428,-31664.4776878738,0,68.942520201342
612.6,41627.2978801067,-10682.2770992102,-1692.45248370681,-30807.8817166008,0,68.9421880345169
612.7,41771.1085972217,-10469.2058009865,-666.579458958761,-31108.5963364856,0,68.9418554169388
612.8,41130.2445995185,-9337.74652282704,342.173083367335,-31611.3898586105,0,68.9415231124702
612.9,41789.4899546496,-10473.2901521493,1344.43800193729,-31159.5089143105,0,68.9411908930107
613,41459.2422413814,-10275.0792047092,-2415.52985875832,-31055.7617015352,0,68.9408574681881
613.1,42362.9929543226,-10902.8317151239,-1418.14499805707,-31310.4974843902,0,68.9405235357344
613.2,41969.1542288615,-10378.8164857233,-420.898375171165,-31484.4234249885,0,68.9401893858848
613.3,41888.9482593213,-9956.28265473937,571.462529131851,-31750.4435795019,0,68.9398552652958
613.4,42020.7579392146,-10537.6373837911,1551.98000159666,-31293.5933959587,0,68.9395212186123
613.5,41348.2011057201,-9993.01118105608,-2234.92806882359,-31199.9219376824,0,68.9391866065569
613.6,43153.179311185,-9974.67716354486,15910.4199886439,-32859.1600395535,14400.0000778749,68.9388518008559
613.7,42900.2554705079,-9614.64414624749,14394.9776393397,-32758.7215239975,14400.0000778813,68.9385167816918
613.8,42990.1738196715,-9517.87434858985,12231.0722481407,-32940.4515993994,14400.0000778877,68.9381817540276
613.9,43030.6320758153,-9915.57110764518,14182.4697092919,-32483.4495856862,14400.0000778942,68.9378464407328
614,42482.5099464384,-9139.8000519221,15501.8173941735,-32772.7634337023,14400.0000779006,68.9375114063841
